@relation mobile_gt
@attribute srcport numeric
@attribute proto numeric
@attribute dstport numeric
@attribute totalpkts numeric
@attribute totalsize numeric
@attribute minsize numeric
@attribute maxsize numeric
@attribute meansize numeric
@attribute stdsize numeric
@attribute kurtosisSize numeric
@attribute skewnessSize numeric
@attribute standardErrorSize numeric
@attribute miniat numeric
@attribute maxiat numeric
@attribute meaniat numeric
@attribute stdiat numeric
@attribute duration numeric
@attribute behavior {chat,browser,video,search}
@data
45452,6,443,21,5840,40,1400,278.09524,434.17902,1.83078,1.83371,94.74563,0.000019,119.817153,6.04069,26.10219,120.813848,chat
38439,6,80,244,183032,40,1400,750.13115,666.71469,-1.97291,-0.06903,42.68203,0,17.122204,0.07872,1.09601,19.127859,chat
49762,6,80,15,3489,40,1320,232.6,390.71418,2.10677,1.93967,100.88197,0.000001,0.103996,0.02631,0.0325,0.368288,chat
48170,6,443,30,9723,40,1400,324.1,493.14949,0.477,1.5017,90.03637,0.000001,7.329739,0.29204,1.33107,8.469277,chat
44596,6,443,26,9486,40,1400,364.84615,513.62323,-0.07029,1.29957,100.7298,0.000001,20.611559,0.86175,4.03164,21.543672,chat
47994,6,443,29,9790,40,1400,337.58621,490.59004,0.44304,1.46954,91.10028,0.000001,0.169987,0.03439,0.04496,0.962861,chat
44496,6,443,6,271,40,71,45.16667,11.55302,2.04,2.14663,4.7165,0.000035,0.069998,0.02022,0.02723,0.10112,chat
44618,6,443,29,9619,40,1400,331.68966,496.10518,0.38935,1.46704,92.12442,0.000002,7.419551,0.30249,1.37052,8.469782,chat
43580,6,443,42,9680,40,1380,230.47619,411.21025,3.34789,2.25658,63.45112,0.000003,4.946151,0.14107,0.76098,5.784062,chat
37221,6,443,148,78780,40,1400,532.2973,602.29379,-1.5086,0.60728,49.50824,0.000001,35.552321,0.37071,2.97901,54.495012,chat
48314,6,443,28,11107,40,1400,396.67857,536.17875,-0.46944,1.15782,101.32826,0.000001,119.759331,4.58973,22.58903,123.922844,chat
45821,6,443,13,596,40,60,45.84615,7.78407,-0.86835,0.84307,2.15891,0.000279,60.002434,5.99482,16.35753,71.937825,chat
48246,6,443,36,12947,40,1400,359.63889,522.40268,-0.01863,1.35749,87.06711,0.000001,16.826308,0.53171,2.79767,18.609908,chat
39694,6,443,14,3150,40,1368,225,405.68232,3.14068,2.28334,108.42316,0.000012,32.205709,2.55453,8.56035,33.208924,chat
48234,6,443,26,9552,40,1400,367.38462,516.36697,-0.13135,1.28159,101.2679,0.000001,4.422313,0.21389,0.86024,5.34727,chat
48126,6,443,28,9631,40,1400,343.96429,504.61601,0.16992,1.3952,95.36346,0.000002,0.176101,0.03873,0.04706,1.045593,chat
48276,6,443,34,9961,40,1400,292.97059,474.12784,1.04241,1.68343,81.31225,0,6.786486,0.31257,1.16991,10.314691,chat
44608,6,443,25,9461,40,1400,378.44,519.42723,-0.22169,1.23946,103.88545,0.000002,10.435912,0.47671,2.07733,11.441092,chat
44644,6,443,28,9567,40,1400,341.67857,502.01274,0.23385,1.41279,94.87149,0,18.312947,0.70507,3.4533,19.036946,chat
48328,6,443,31,15246,40,1400,491.80645,551.99155,-1.34949,0.66397,99.14061,0,117.439774,4.10901,21.05047,123.270293,chat
43546,6,443,25,5124,40,1400,204.96,323.87893,5.60063,2.48496,64.77579,0.000015,4.848416,0.39991,1.077,9.597805,chat
44622,6,443,28,9568,40,1400,341.71429,502.0515,0.23283,1.4125,94.87881,0.000002,7.43326,0.31361,1.39703,8.467591,chat
40192,6,443,38,14216,40,1400,374.10526,524.19757,-0.08418,1.30898,85.03608,0.000001,4.027552,0.25209,0.75529,9.32749,chat
45293,6,443,23,1512,40,338,65.73913,65.67987,10.9169,3.46843,13.6952,0.000005,43.921813,3.86894,11.96756,85.116647,chat
48228,6,443,29,11055,40,1400,381.2069,531.45145,-0.33075,1.21544,98.68806,0.000001,14.617166,0.55499,2.70658,15.539791,chat
48198,6,443,26,9553,40,1400,367.42308,516.4104,-0.13225,1.28133,101.27641,0.000002,16.889304,0.71328,3.30219,17.831898,chat
44624,6,443,29,9606,40,1400,331.24138,496.2916,0.38925,1.46685,92.15904,0.000001,3.75335,0.16446,0.69159,4.604975,chat
44729,6,443,28,9567,40,1400,341.67857,502.01274,0.23385,1.41279,94.87149,0.000002,0.181598,0.03804,0.0464,1.027138,chat
44971,6,80,310,123188,40,1400,397.38065,543.06673,-0.48658,1.17041,30.84412,0,12.57463,0.06029,0.71862,18.629122,chat
44713,6,443,28,9580,40,1400,342.14286,501.81227,0.23398,1.413,94.8336,0.000001,2.243449,0.11375,0.41908,3.071147,chat
39796,6,443,66,40712,40,1400,616.84848,636.71316,-1.79945,0.36075,78.37397,0.000001,0.565045,0.03371,0.07424,2.190881,chat
48150,6,443,26,9563,40,1400,367.80769,516.02669,-0.12968,1.28221,101.20116,0.000011,12.440571,0.53183,2.43119,13.295732,chat
44752,6,443,36,12122,40,1400,336.72222,511.39904,0.39854,1.50557,85.23317,0.000001,119.894906,3.55234,19.9546,124.331966,chat
48320,6,443,32,13864,40,1400,433.25,473.39736,-0.3417,0.97177,83.68562,0.000002,94.045418,3.91118,16.6496,121.24657,chat
48174,6,443,33,11578,40,1400,350.84848,526.89457,0.13346,1.43184,91.72057,0.000006,13.222847,0.45616,2.29394,14.597057,chat
48280,6,443,33,9895,40,1400,299.84848,479.46549,0.88716,1.63663,83.46423,0.000001,8.923164,0.39483,1.55431,12.634585,chat
40369,6,443,29,4280,40,1400,147.58621,279.84842,11.78033,3.45906,51.96655,0.000004,19.014,0.70159,3.5244,19.644648,chat
48152,6,443,26,9551,40,1400,367.34615,516.31423,-0.13059,1.28178,101.25755,0.000001,12.427471,0.53505,2.42802,13.376296,chat
44554,6,80,36,10408,40,1380,289.11111,487.87281,0.69611,1.63357,81.31213,0.000006,5.59353,0.27443,0.9671,9.604934,chat
42960,6,443,23,4511,40,1400,196.13043,312.19953,7.31581,2.73404,65.0981,0.000114,2.776158,0.21644,0.5953,4.761746,chat
44656,6,443,28,9567,40,1400,341.67857,502.01274,0.23385,1.41279,94.87149,0.000001,12.552967,0.50296,2.36373,13.579948,chat
48304,6,443,50,21005,40,1400,420.1,562.21438,-0.73915,1.06829,79.50912,0.000001,119.759855,2.52794,16.92281,123.868982,chat
40085,6,443,302,134664,40,1400,445.90728,546.57103,-0.88143,0.9567,31.45163,0,19.783007,0.40575,2.13741,122.130534,chat
48268,6,443,26,9602,40,1400,369.30769,518.6104,-0.17517,1.26918,101.70787,0.000001,7.356011,0.3271,1.43529,8.177432,chat
47217,6,443,18,996,40,80,55.33333,17.95055,-1.45949,0.5847,4.23099,0.000248,45.230466,5.98145,14.48956,101.684607,chat
39202,6,443,20,6868,40,1368,343.4,524.42582,0.14445,1.43965,117.26518,0.000017,32.40159,1.7219,7.23134,32.716137,chat
43874,6,443,36,13814,40,1380,383.72222,529.10357,-0.51728,1.17826,88.18393,0.000001,39.809847,1.44225,6.6441,50.478603,chat
47990,6,443,32,10688,40,1400,334,492.25559,0.27844,1.41994,87.01932,0.000001,0.179344,0.03796,0.04623,1.176832,chat
44604,6,443,30,9660,40,1400,322,490.62015,0.54416,1.51903,89.57457,0,19.266712,0.70074,3.50898,20.32149,chat
45444,6,443,23,5952,40,1400,258.78261,419.56737,2.39418,1.97828,87.48584,0.00004,119.829295,5.5344,24.94212,121.75686,chat
48308,6,443,29,11599,40,1400,399.96552,494.83341,-0.28995,1.11828,91.88826,0.000002,119.175743,4.38183,22.09345,122.691124,chat
44764,6,443,17,4958,40,1400,291.64706,471.80603,1.33363,1.80167,114.42977,0.000002,0.108925,0.03044,0.03519,0.487013,chat
44648,6,443,32,11663,40,1400,364.46875,531.8345,-0.03194,1.36377,94.01595,0.000001,6.998824,0.26533,1.23244,8.22538,chat
37505,6,443,250,108930,40,1368,435.72,545.64126,-0.85265,0.99533,34.50938,0.000001,16.401006,0.34364,1.93894,85.567123,chat
48230,6,443,33,11693,40,1400,354.33333,529.02831,0.04909,1.39087,92.09201,0,21.133674,0.71206,3.66965,22.785816,chat
44920,6,443,12,568,40,60,47.33333,7.80313,-1.26555,0.40274,2.25257,0.004841,1.999974,0.37201,0.60265,4.092156,chat
48120,6,443,30,9977,40,1400,332.56667,490.16594,0.45319,1.48304,89.49165,0.000002,7.164998,0.28703,1.30097,8.323914,chat
37247,6,80,23,4827,40,1400,209.86957,413.81158,3.41981,2.34411,86.28568,0.000004,0.640482,0.04781,0.13134,1.051725,chat
44576,6,443,6,271,40,71,45.16667,11.55302,2.04,2.14663,4.7165,0.00002,0.067328,0.01951,0.02659,0.09756,chat
48148,6,443,28,9644,40,1400,344.42857,504.4144,0.17001,1.39539,95.32536,0.000001,12.816299,0.5145,2.41295,13.891468,chat
48208,6,443,26,9550,40,1400,367.30769,516.26154,-0.12984,1.28197,101.24722,0.000001,14.983037,0.64118,2.92797,16.029516,chat
43542,6,443,22,5609,40,1400,254.95455,365.24394,2.53781,1.86829,77.87027,0.000003,2.022631,0.14336,0.42567,3.010484,chat
44600,6,443,29,9606,40,1400,331.24138,496.2916,0.38925,1.46685,92.15904,0.000001,20.597919,0.77304,3.81555,21.645111,chat
47529,6,80,13567,11772202,40,1400,867.70856,661.96497,-1.80624,-0.43976,5.6832,0,64.429844,0.00953,0.55359,129.305707,video
45311,6,443,6,272,40,60,45.33333,7.88811,-0.34041,1.15907,3.22031,0.007152,30.679076,6.17068,12.25424,30.853423,video
39979,6,443,45,26107,40,1400,580.15556,626.9987,-1.65907,0.48486,93.46745,0.000002,0.840017,0.05343,0.14207,2.350814,video
46765,6,80,142,99540,40,1400,700.98592,672.72668,-1.97567,0.06715,56.45397,0.000001,1.135048,0.03484,0.11096,4.91231,video
38855,6,80,20,5048,40,1400,252.4,425.26208,2.73956,2.06989,95.09149,0.000001,20.880544,1.11267,4.65943,21.140727,video
38791,6,8080,13,3296,40,1400,253.53846,429.63985,2.22364,2.00789,119.16066,0.000014,0.164776,0.04505,0.05067,0.540631,video
47531,6,80,1878,1674886,40,1400,891.84558,655.57859,-1.73097,-0.51692,15.12784,0,17.341046,0.03447,0.53577,64.706188,video
38553,6,80,63,37305,52,1400,592.14286,551.94835,-1.46633,0.34576,69.53896,0.000002,96.790257,1.95197,12.34385,121.021931,video
48895,6,80,22,9862,40,1400,448.27273,593.3722,-0.96397,0.96643,126.50738,0,0.114016,0.02,0.03743,0.420036,video
42382,6,80,14,4138,40,1400,295.57143,474.13496,1.59819,1.84092,126.7179,0.000007,0.119352,0.02915,0.04219,0.379001,video
