@relation mobile_gt
@attribute srcport numeric
@attribute proto numeric
@attribute dstport numeric
@attribute totalpkts numeric
@attribute totalsize numeric
@attribute minsize numeric
@attribute maxsize numeric
@attribute meansize numeric
@attribute stdsize numeric
@attribute kurtosisSize numeric
@attribute skewnessSize numeric
@attribute standardErrorSize numeric
@attribute miniat numeric
@attribute maxiat numeric
@attribute meaniat numeric
@attribute stdiat numeric
@attribute duration numeric
@attribute appName {'WeChat','Weibo','bilibili','iQIYI','手机淘宝','京东','Alipay','携程旅行','马蜂窝旅游','QQMusic','酷狗音乐','拼多多','今日头条','新浪新闻','Tencent news','NetEase News','抖音短视频','Meituan','Ximalaya','NetEase Music'}
@data
45893,6,80,128,74675,40,1400,583.39844,646.43634,-1.76189,0.43304,57.13744,0,0.164765,0.01019,0.02849,1.29475,Ximalaya
38574,6,80,137,78224,40,1400,570.9781,644.17467,-1.73203,0.4766,55.03556,0,12.383119,0.1002,1.05753,13.627182,Ximalaya
41070,6,80,104,50609,40,1400,486.625,599.79639,-1.2387,0.82752,58.81488,0,59.255684,0.59804,5.80823,61.598293,Ximalaya
47710,6,80,139,82036,40,1400,590.18705,647.92599,-1.78028,0.41446,54.95637,0,5.046027,0.04658,0.42869,6.428058,Ximalaya
45750,6,80,288,160478,40,1400,557.21528,637.51255,-1.66958,0.5351,37.56579,0,20.480563,0.09592,1.24147,27.529951,Ximalaya
45655,6,8080,36,21581,40,1400,599.47222,596.6328,-1.55651,0.46293,99.4388,0,158.631756,4.75923,26.3936,166.57315,WeChat
45655,6,8080,7,428,40,77,61.14286,18.31025,-1.73611,-0.33679,6.92062,0.000008,209.986436,35.04526,78.23609,210.271582,WeChat
45655,6,8080,67,41686,40,1400,622.1791,652.7709,-1.8385,0.31178,79.74866,0,125.549697,1.94747,15.33151,128.532798,WeChat
45655,6,8080,26,15102,40,1400,580.84615,614.2818,-1.56497,0.51077,120.47057,0,185.149421,7.52533,36.25876,188.133337,WeChat
39783,6,80,11,2443,52,1264,222.09091,374.08809,3.26775,2.2589,112.7918,0.000006,4.786799,0.56992,1.40774,5.699178,Ximalaya
38464,6,80,137,78843,40,1400,575.49635,637.98481,-1.7232,0.46733,54.50672,0,0.187691,0.01081,0.02918,1.469531,Ximalaya
47712,6,80,135,79161,40,1400,586.37778,645.89789,-1.76373,0.42971,55.59004,0,5.11083,0.04715,0.43991,6.317642,Ximalaya
49167,6,443,17,5785,40,1400,340.29412,516.04785,0.42458,1.4949,125.15999,0,0.15592,0.03569,0.05131,0.571014,WeChat
45490,6,80,3930,2597801,40,1400,661.01807,663.0207,-1.93719,0.19102,10.57623,0,5.085395,0.01015,0.08454,39.865276,Ximalaya
42382,6,80,141,83807,40,1400,594.37589,644.44904,-1.7758,0.41841,54.2724,0,5.074954,0.04604,0.42769,6.445286,Ximalaya
38460,6,80,157,81010,40,1400,515.98726,626.13531,-1.50008,0.68512,49.97104,0,0.156508,0.01269,0.02732,1.980387,Ximalaya
42951,6,80,9,2054,52,924,228.22222,327.99518,0.40109,1.56579,109.33173,0.000113,4.872038,0.71381,1.57402,5.710511,Ximalaya
43183,6,80,17,4820,40,1308,283.52941,451.61555,0.8018,1.61983,109.53286,0.000015,1.910044,0.18562,0.44834,2.969997,Ximalaya
40231,6,80,22,10332,40,1400,469.63636,600.81275,-1.17324,0.83897,128.09371,0.000001,6.56126,0.34652,1.39132,7.277011,WeChat
41671,6,8080,17,5772,40,1400,339.52941,514.79055,0.46364,1.50897,124.85505,0.000001,0.219991,0.04653,0.06493,0.744467,WeChat
41455,6,80,137,79317,40,1400,578.9562,644.70505,-1.74669,0.45291,55.08087,0,0.166652,0.00787,0.02331,1.070124,Ximalaya
37528,6,80,9,1830,52,1226,203.33333,365.43308,4.69112,2.68016,121.81103,0.001301,14.832669,1.95744,4.86734,15.659507,Ximalaya
43148,6,80,22,7231,52,1350,328.68182,466.08265,0.30215,1.40566,99.36915,0.000001,1.932362,0.18477,0.42858,3.880201,Ximalaya
45682,6,80,16,4912,40,1400,307,483.11114,0.73351,1.64666,120.77779,0.000003,91.131085,6.45626,22.65914,96.843924,Ximalaya
41320,6,80,12,2705,52,1400,225.41667,392.67851,4.46287,2.502,113.35652,0.000004,4.831394,0.51547,1.36841,5.670185,Ximalaya
46947,6,443,20,3982,40,1400,199.1,320.81785,7.59686,2.87005,71.73705,0,209.823077,11.1154,46.83592,211.19254,WeChat
46947,6,443,8,509,40,81,63.625,18.34351,-1.54431,-0.57266,6.48541,0.008055,209.727856,32.5871,72.57047,228.10967,WeChat
43852,6,80,13,2999,52,1400,230.69231,381.34527,4.55876,2.45715,105.76615,0.000005,0.999838,0.13998,0.27047,1.679819,Ximalaya
47417,6,80,14,1399,40,313,99.92857,105.26529,0.17369,1.49166,28.13333,0.000406,0.96583,0.13112,0.2496,1.704621,Ximalaya
44892,6,5222,22,5878,52,905,267.18182,258.46182,0.37096,1.11754,55.10425,0.000004,23.383858,1.20181,4.96071,25.238094,Ximalaya
49294,6,443,27,8132,40,1400,301.18519,472.20594,1.56912,1.83381,90.87607,0,0.244135,0.05121,0.06996,1.331427,Ximalaya
47701,6,80,10,1349,40,764,134.9,217.23464,4.84766,2.64247,68.69563,0.000643,1.679171,0.23609,0.51439,2.124799,Ximalaya
48978,6,80,17,2051,40,941,120.64706,223.38754,8.58634,3.21277,54.17944,0.000015,1.800251,0.17463,0.42518,2.794036,Ximalaya
37009,6,80,10,2098,52,998,209.8,320.23298,1.59358,1.87976,101.26656,0.053416,4.44608,0.7583,1.38455,6.824741,Ximalaya
40070,6,80,9,1938,52,1010,215.33333,320.3831,1.93254,1.93609,106.79437,0.008072,4.833812,0.70373,1.56323,5.629801,Ximalaya
47201,6,80,24,3490,40,348,145.41667,130.24366,-1.55719,0.58082,26.58587,0.000006,2.242797,0.15105,0.44998,3.474085,Ximalaya
