@relation flows-weka.filters.unsupervised.attribute.Remove-R5-15-weka.filters.unsupervised.attribute.Remove-R1

@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute app {BG,FG}

@data
443,45881,6,16,12240,40,1480,765,631.34212,0.000001,64.999397,4.44094,16.18612,66.614123,16,1604,40,525,100.25,124.40986,0.000355,65.139876,4.45848,16.2189,66.877198,BG
443,49954,6,29,10421,40,1500,359.34483,532.73098,0.000002,6.71964,0.38653,1.27656,10.82297,24,2449,40,973,102.04167,187.65959,0.000025,6.627348,0.31921,1.34569,7.341865,BG
80,44123,6,6,485,40,265,80.83333,82.68498,0.001483,19.999149,4.06386,7.96802,20.319283,7,2611,40,1400,373,469.74187,0.001528,19.994618,3.41976,7.41274,20.51857,BG
80,51760,6,5,647,40,483,129.4,176.80679,0.010731,19.999746,5.07968,8.61438,20.318739,6,1801,40,1034,300.16667,383.3025,0.101078,20.060257,4.09475,7.98276,20.473735,BG
80,58584,6,80,115321,40,1500,1441.5125,276.54986,0,0.802031,0.03303,0.1369,2.609547,69,4370,40,410,63.33333,42.79058,0.000005,0.105185,0.00498,0.01779,0.338615,BG
443,56011,6,12,5839,40,1500,486.58333,602.08713,0.000001,120.000096,10.94642,34.48587,120.410613,11,1081,40,349,98.27273,95.57871,0.000579,120.124752,12.05573,36.02304,120.55735,BG
443,56775,6,11,5483,40,1500,498.45455,595.14847,0.000003,1.681767,0.3623,0.51191,3.623046,12,1149,40,285,95.75,84.86374,0.000235,1.621453,0.18807,0.45769,2.06882,BG
443,38144,6,21,8759,40,1500,417.09524,545.73,0.000001,14.989669,0.78708,3.25903,15.741641,21,1945,40,653,92.61905,135.15158,0.000145,14.987437,0.79773,3.25573,15.954643,BG
8000,3027,17,5,427,74,93,85.4,9.30806,1.051614,22.225328,7.39603,8.60618,29.584108,12,886,63,89,73.83333,12.81817,0.109581,7.848886,3.40344,2.40532,37.437816,BG
443,32868,6,11,5147,40,1500,467.90909,562.29052,0.000003,1.617188,0.46507,0.52305,4.650656,12,1158,40,285,96.5,86.24336,0.000014,1.612198,0.2268,0.44836,2.494797,BG
443,48813,6,8,6129,52,1500,766.125,576.63104,0.000007,0.32299,0.14286,0.12773,1.000046,11,1721,40,717,156.45455,204.7217,0.000477,0.320532,0.13124,0.12453,1.312424,BG
80,58224,6,251,369046,40,1500,1470.30279,197.75834,0,118.98413,0.48112,7.50986,120.280688,200,11765,40,265,58.825,18.85376,0.000003,119.055844,0.60531,8.41798,120.457287,BG
443,58419,6,16,7421,40,1500,463.8125,596.74358,0.000004,2.403075,0.37212,0.64101,5.581752,14,1302,40,333,93,89.01204,0.000348,2.269886,0.25607,0.58824,3.328882,BG
443,50075,6,27,11340,40,1500,420,586.68643,0,11.020875,0.61722,2.13119,16.047743,22,2417,40,1069,109.86364,215.10701,0.000113,10.922147,0.56913,2.31596,11.951712,BG
