@relation flows-weka.filters.unsupervised.attribute.Remove-R16-37-weka.filters.unsupervised.attribute.Remove-R1

@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute app {BG,FG}

@data
443,45881,6,32,13844,40,1480,432.625,563.47891,0.000001,64.838696,2.15733,11.44482,66.877198,BG
443,49954,6,53,12870,40,1500,242.83019,433.17306,0.000002,6.627348,0.20882,0.94333,10.858808,BG
80,44123,6,13,3096,40,1400,238.15385,378.39801,0.001483,19.830602,1.70988,5.46388,20.51857,BG
80,51760,6,11,2448,40,1034,222.54545,318.71314,0.005286,19.910547,2.04737,5.9546,20.473735,BG
80,58584,6,149,119691,40,1500,803.2953,717.05465,0,0.802031,0.01765,0.10112,2.61156,BG
443,56011,6,23,6920,40,1500,300.86957,480.75894,0.000001,119.979209,5.47988,24.98584,120.55735,BG
443,56775,6,23,6632,40,1500,288.34783,462.1952,0.000003,1.621453,0.16474,0.37726,3.624289,BG
443,38144,6,42,10704,40,1500,254.85714,429.37721,0.000001,14.939781,0.38914,2.30089,15.954643,BG
8000,3027,17,17,1313,63,93,77.23529,13.00918,0.017633,7.772363,2.33986,2.50857,37.437816,BG
443,32868,6,23,6305,40,1500,274.13043,435.33169,0.000003,1.612198,0.21145,0.41474,4.651852,BG
443,48813,6,19,7850,40,1500,413.15789,504.84998,0.000007,0.200257,0.07291,0.06871,1.312424,BG
80,58224,6,451,380811,40,1500,844.37029,716.67382,0,118.880525,0.26768,5.59772,120.457287,BG
443,58419,6,30,8723,40,1500,290.76667,477.32768,0.000004,2.269886,0.19367,0.46973,5.61631,BG
443,50075,6,49,13757,40,1500,280.7551,483.97548,0,10.922147,0.33507,1.5834,16.08351,BG
443,52489,6,32,12286,40,1492,383.9375,557.32048,0.000001,15.474912,0.72048,2.78064,22.33483,BG
443,48621,6,70,44153,40,1492,630.75714,689.34005,0.000001,5.592011,0.21979,0.77687,15.165479,BG
443,40723,6,23,6257,40,1500,272.04348,429.0684,0.000001,0.623252,0.0633,0.12797,1.392581,BG
443,50028,6,46,10857,40,1500,236.02174,415.67569,0.000001,12.950657,0.40707,1.92864,18.318231,BG
80,60755,6,11,2602,52,1212,236.54545,352.33336,0.005769,19.799311,2.05832,5.91424,20.583202,BG
80,39622,6,12,2510,40,1394,209.16667,395.83537,0.000004,0.11047,0.03303,0.04504,0.363351,BG
80,53498,6,157,124072,40,1500,790.26752,709.50063,0,0.213924,0.00505,0.01894,0.787452,BG
443,58915,6,27,8617,40,1500,319.14815,472.482,0.000005,2.073432,0.20018,0.41836,5.204709,BG
14822,3027,17,76,5843,57,248,76.88158,24.48843,0.000004,15.404079,2.47399,4.08294,185.549582,BG
443,42043,6,43,13802,40,1480,320.97674,394.76401,0,64.643165,1.6527,9.84105,69.413357,BG
443,56819,6,108,72564,40,1500,671.88889,698.09581,0.000002,118.253461,1.16252,11.37327,124.389526,BG
443,50102,6,24,6749,40,1500,281.20833,467.50445,0.000004,0.888002,0.11784,0.22177,2.710309,BG
443,41783,6,40,3571,40,557,89.275,88.66735,0.00003,180.006133,5.42412,28.73772,211.540684,BG
8000,3027,17,12,1092,89,93,91,2,0.059902,23.189121,3.2225,6.55943,35.44751,BG
80,58528,6,274,242011,40,1500,883.25182,708.10049,0,0.119378,0.00233,0.01058,0.636075,BG
443,32874,6,24,5095,40,1469,212.29167,394.84432,0.000006,2.770135,0.2493,0.58312,5.733819,BG
80,58531,6,1026,892562,40,1500,869.94347,709.22714,0,0.514007,0.00287,0.02171,2.943972,BG
8080,51123,6,12,1892,40,824,157.66667,231.68633,0.000386,59.260736,5.51557,16.9981,60.671323,BG
443,37155,6,31,14107,40,1500,455.06452,601.27649,0.000003,4.530879,0.20639,0.80527,6.191797,BG
443,58777,6,25,7834,40,1500,313.36,466.16194,0.000002,1.801537,0.21451,0.43188,5.148252,BG
80,58500,6,547,464259,40,1500,848.73675,714.5128,0,0.802102,0.00555,0.04889,3.028256,BG
8080,47564,6,19,2062,52,516,108.52632,138.49088,0.000264,23.328315,2.73279,5.75353,49.190267,BG
443,50005,6,48,13097,40,1500,272.85417,471.59795,0.000003,10.359652,0.32694,1.5217,15.366003,BG
443,49309,6,26,3775,40,893,145.19231,224.9665,0.000269,6.927995,0.59629,1.48729,14.907214,BG
80,44835,6,13,3852,40,1500,296.30769,517.819,0.000016,119.835248,10.2628,33.04242,123.153555,BG
443,49294,6,39,11559,40,1492,296.38462,474.56121,0.000001,4.88806,0.39587,1.01095,15.042886,BG
80,40391,6,7232,5749335,40,1500,794.98548,720.67015,0,2.041893,0.01517,0.13488,109.707165,BG
443,35306,6,80,50819,40,1500,635.2375,685.75233,0,120.227106,2.28912,14.92224,180.840683,BG
80,58583,6,372,320760,40,1500,862.25806,710.83777,0,0.224026,0.0028,0.01501,1.039936,BG
443,58484,6,38,16115,40,1500,424.07895,573.8986,0.000003,71.216419,2.76326,12.39,102.240606,BG
80,53386,6,653,240143,40,1500,367.75345,501.89502,0,209.565936,0.37153,8.21328,242.240163,BG
